day,date,dayArea,brief,routeFlow,cat,time,name,addr,lat,lng,reserved,area,note,link
Day 1,9/30（三）,抵達・新宿,下飛機 check-in 後前往新宿逛街與享用美食。,成田機場;神宮前6丁目;西新宿;新宿;代代木2丁目;千駄谷,sight,15:00,Dormy Inn Premium Shibuya-jingumae,6-24-4 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6635,139.7042,false,神宮前6丁目,,
Day 1,9/30（三）,抵達・新宿,下飛機 check-in 後前往新宿逛街與享用美食。,成田機場;神宮前6丁目;西新宿;新宿;代代木2丁目;千駄谷,food,,I'm FREE. 表参道店,,35.6685,139.7061,false,神宮前4丁目,🌿,
Day 1,9/30（三）,抵達・新宿,下飛機 check-in 後前往新宿逛街與享用美食。,成田機場;神宮前6丁目;西新宿;新宿;代代木2丁目;千駄谷,shop,,HealthyTOKYO CBD Shop & Labo Harajuku Harakado,6-31-21 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6689,139.7054,false,神宮前6丁目,原宿🌿,
Day 1,9/30（三）,抵達・新宿,下飛機 check-in 後前往新宿逛街與享用美食。,成田機場;神宮前6丁目;西新宿;新宿;代代木2丁目;千駄谷,food,,CBD HILLS 新宿店,,35.6908,139.7041,false,新宿3丁目,🌿,
Day 1,9/30（三）,抵達・新宿,下飛機 check-in 後前往新宿逛街與享用美食。,成田機場;神宮前6丁目;西新宿;新宿;代代木2丁目;千駄谷,shop,,BEAMS Shinjuku,3-38-1 Shinjuku  Shinjuku City  Tokyo 160-0022  Japan,35.6901,139.7001,false,新宿3丁目,,
Day 1,9/30（三）,抵達・新宿,下飛機 check-in 後前往新宿逛街與享用美食。,成田機場;神宮前6丁目;西新宿;新宿;代代木2丁目;千駄谷,shop,,BEAMS JAPAN Shinjuku,3-32-6 Shinjuku  Shinjuku City  Tokyo 160-0022  Japan,35.6585,139.6975,false,道玄坂2丁目,,
Day 1,9/30（三）,抵達・新宿,下飛機 check-in 後前往新宿逛街與享用美食。,成田機場;神宮前6丁目;西新宿;新宿;代代木2丁目;千駄谷,shop,,eggslut Shinjuku Southern Terrace,2-2-1 Yoyogi  Shibuya City  Tokyo 151-0053  Japan,35.6876,139.7001,false,西新宿1丁目,,
Day 1,9/30（三）,抵達・新宿,下飛機 check-in 後前往新宿逛街與享用美食。,成田機場;神宮前6丁目;西新宿;新宿;代代木2丁目;千駄谷,food,,Ramen Hayashida Shinjuku Shop,3-31-5 Shinjuku  Shinjuku City  Tokyo 160-0022  Japan,35.6905,139.7030,false,新宿3丁目,,
Day 1,9/30（三）,抵達・新宿,下飛機 check-in 後前往新宿逛街與享用美食。,成田機場;神宮前6丁目;西新宿;新宿;代代木2丁目;千駄谷,food,,Ramen Kamo to Negi - Shinjuku West Exit,1-6-1 Nishi-Shinjuku  Shinjuku City  Tokyo 160-0023  Japan,35.6920,139.6990,false,西新宿1丁目,,
Day 1,9/30（三）,抵達・新宿,下飛機 check-in 後前往新宿逛街與享用美食。,成田機場;神宮前6丁目;西新宿;新宿;代代木2丁目;千駄谷,food,,Yokohama Iekei Ramen Midori,1-12-6 Kabukicho  Shinjuku City  Tokyo 160-0021  Japan,35.6946,139.7021,false,新宿3丁目,,
Day 1,9/30（三）,抵達・新宿,下飛機 check-in 後前往新宿逛街與享用美食。,成田機場;神宮前6丁目;西新宿;新宿;代代木2丁目;千駄谷,shop,,Uobei Shin-Okubo,,35.7011,139.7016,false,新大久保,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,sight,,先去明治神宮 => 原宿,,,,false,神宮前1丁目,9 AM–4:30 PM,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,NUBIAN HARAJUKU,1-20-2 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6705,139.7068,false,神宮前1丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,Beams T Harajuku,3-25-15 Jingumae  Shibuya City  Tokyo 150-0001  Japan,,,false,神宮前1丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,BEAMS Harajuku,3-24-7 Jingumae  Shibuya City  Tokyo 150-0001  Japan,,,false,神宮前1丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,UNION TOKYO,2-26-5 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6745,139.7105,false,神宮前2丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,FreshService headquarters,2-6-7 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6749,139.7088,false,神宮前2丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,A＋S,,35.6680,139.7065,false,神宮前4丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,THE H.W. DOG&Co.,,35.6655,139.7075,false,神宮前5丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,UNITED ARROWS Harajuku Main Store,3-28-1 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6710,139.7082,false,神宮前3丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,BerBerJin,3-26-11 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6705,139.7075,false,神宮前3丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,atmos Harajuku,3-22-8 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6698,139.7058,false,神宮前1丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,Carhartt WIP Store Harajuku,4-28-25 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6682,139.7095,false,神宮前4丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,Supreme Harajuku,4-32-7 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6700,139.7070,false,神宮前1丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,LE LABO 原宿,,35.6684,139.7051,false,神宮前1丁目,東京限定10,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,BILLY'S HARAJUKU,4-28-20 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6681,139.7052,false,神宮前1丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,atmos URAHARA,3-18-20 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6695,139.7061,false,神宮前3丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,retaW store HARAJUKU,4-26-22 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6687,139.7058,false,神宮前4丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,DE FRITES STAAN HARAJUKU,1-11-6 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6685,139.7059,false,神宮前1丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,HUMAN MADE HARAJUKU,1-11-6 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6686,139.7052,false,神宮前1丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,GR8,1-11-6 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6705,139.7032,false,神宮前1丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,Kinetics,,35.6690,139.7055,false,神宮前1丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,atmos BLUE OMOTESANDO,4-29-4 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6682,139.7063,false,神宮前4丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,BRAIN DEAD STUDIOS HARAJUKU,4-29-8 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6681,139.7065,false,神宮前4丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,STUDIOUS TOKYO 表参道,,35.6685,139.7059,false,神宮前4丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,Stüssy Harajuku Chapter,4-28-2 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6682,139.7050,false,神宮前1丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,thisisneverthat Tokyo Flagship,4-27-6 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6684,139.7060,false,神宮前4丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,food,,Salmon Bowl Kumada,3-20-10 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6710,139.7082,false,神宮前3丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,"Patagonia Shibuya, Tokyo",6-16-8 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6617,139.7025,false,神宮前6丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,UNBY GENERAL GOODS STORE TOKYO,3-18-23 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6698,139.7062,false,神宮前3丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,MEDICOM TOY PLUS,4-12-10 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6672,139.7088,false,神宮前4丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,The Onitsuka Omotesando,4-24-14 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6683,139.7061,false,神宮前4丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,Nanadaime tora,3-22-1 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6690,139.7058,false,神宮前4丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,MoMA Design Store Omotesando,5-10-1 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6672,139.7085,false,神宮前5丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,V.A.,,35.6621,139.7132,false,南青山5丁目,,https://maps.app.goo.gl/h1EDVQgTxMDg6hCQ9
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,Descendant Tokyo,1-22-11 Jinnan  Shibuya City  Tokyo 150-0041  Japan,35.6625,139.7005,false,神南1丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,Snow Peak Omotesando,3-22-8 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6681,139.7063,false,神宮前4丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,Gramicci Harajuku,3-25-18 Jingumae  Shibuya City  Tokyo 150-0001  Japan,,,false,神宮前1丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,food,,Menchirashi,6-13-7 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6657,139.7058,false,神宮前6丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,food,,The Teisyoku Shop,6-14-12 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6681,139.7058,false,神宮前4丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,Barbour Omotesando,4-25-15 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6681,139.7064,false,神宮前4丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,Hakusan Megane WALLS Shibuya,1-14-3 Jinnan  Shibuya City  Tokyo 150-0041  Japan,35.6629,139.7011,false,神南1丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,G.B.Gafas SHIBUYA,6-18-2 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6620,139.7023,false,神宮前6丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,BASO OMOTESANDO,5-11-2 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6680,139.7065,false,神宮前4丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,Tokyu Plaza Harajuku 'Harakado',6-31-21 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6689,139.7054,false,神宮前6丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,The North Face Standard,,35.6657,139.7048,false,神宮前6丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,NANGA SHOP HARAJUKU,3-24-5 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6692,139.7059,false,神宮前3丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,BILLY'S ENT Shibuya,1-19-1 Jinnan  Shibuya City  Tokyo 150-0041  Japan,35.6623,139.7008,false,神南1丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,Graphpaper AOYAMA,5-3-2 Minamiaoyama  Minato City  Tokyo 107-0062  Japan,35.6625,139.7130,false,南青山5丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,cafe,,I'm donut? Omotesando,3-16-3 Kita-Aoyama  Minato City  Tokyo 107-0061  Japan,35.6684,139.7112,false,北青山3丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,KANEKO GANKYO-TEN Omotesando,4-12-10 Jingumae  Shibuya City  Tokyo 150-0001  Japan,35.6675,139.7081,false,神宮前4丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,CITY TOKYO 青山,,35.6621,139.7138,false,南青山5丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,shop,,H BEAUTY&YOUTH,,35.6680,139.7160,false,南青山3丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,food,,Yanmo,5-5-25 Minamiaoyama  Minato City  Tokyo 107-0062  Japan,35.6624,139.7121,false,南青山5丁目,,
Day 2,10/1（四）,原宿・青山,早上明治神宮，中午西麻布豚組，下午原宿表參道選品店行程。,代代木1丁目;西麻布2丁目;南青山5丁目;南青山3丁目;北青山3丁目;神宮前5丁目;神宮前3丁目;神宮前2丁目;神宮前4丁目;神宮前1丁目,food,,Napule,,35.6631,139.7125,false,南青山5丁目,,
